Ratio,Size Reduction,C,Time Full,Time Pruned,Time Ratio,Inference Time,Obj Full,Obj Pruned,Best K,N Nodes,n,m,avg_degree
1.0005155968032997,0.95,0.9504898169631347,0.017739295959472656,0.0029578208923339844,5.997420602934064,0.006415128707885742,3879,3881,500,10000,10000,2,3.9992
1.0,0.95,0.95,0.02134561538696289,0.004954814910888672,4.308055047637379,0.008421182632446289,5738,5738,500,10000,10000,4,7.9956
1.0002834868887314,0.95,0.9502693125442947,0.023504018783569336,0.006705045700073242,3.5054226078298902,0.009668350219726562,7055,7057,500,10000,10000,6,11.9912
0.9998731930002536,0.95,0.9498795333502409,0.027423620223999023,0.009417533874511719,2.9119746835443037,0.011049509048461914,7886,7885,500,10000,10000,8,15.9824
0.9996405463695184,0.95,0.9496585190510424,0.03043842315673828,0.01067805290222168,2.8505593140866767,0.012101888656616211,8346,8343,500,10000,10000,10,19.9738
1.0,0.99,0.99,0.10229802131652832,0.00651240348815918,15.708182317408017,0.03246927261352539,9592,9592,500,50000,50000,2,3.99984
1.0,0.99,0.99,0.11854338645935059,0.015999555587768555,7.4091674489993595,0.04102134704589844,15991,15991,500,50000,50000,4,7.99904
1.0,0.99,0.99,0.13369488716125488,0.02797842025756836,4.778500213037921,0.04967784881591797,21585,21585,500,50000,50000,6,11.998
1.0,0.99,0.99,0.14980173110961914,0.03515195846557617,4.261547226630855,0.05476808547973633,25583,25583,500,50000,50000,8,15.99616
1.0,0.99,0.99,0.16226816177368164,0.04637479782104492,3.49905917433551,0.06197834014892578,29080,29080,500,50000,50000,10,19.99408
1.0,0.995,0.995,0.20538687705993652,0.009155035018920898,22.434308185108986,0.06584286689758301,13963,13963,500,100000,100000,2,3.99992
1.0,0.995,0.995,0.2194228172302246,0.024559736251831055,8.934249740318995,0.07917904853820801,24174,24174,500,100000,100000,4,7.99952
1.0,0.995,0.995,0.25701236724853516,0.04553985595703125,5.64367984587033,0.09306883811950684,33543,33543,500,100000,100000,6,11.9989
1.0,0.995,0.995,0.2971479892730713,0.062052249908447266,4.788673895168789,0.10488271713256836,40855,40855,500,100000,100000,8,15.998
1.0,0.995,0.995,0.3256678581237793,0.0851140022277832,3.826254782993552,0.11944293975830078,47216,47216,500,100000,100000,10,19.99696
